  9.900000000000000e-01   3.385000000000000e-03
  9.800000000000000e-01   6.126000000000000e-03
  9.700000000000000e-01   8.767000000000001e-03
  9.600000000000000e-01   1.135700000000000e-02
  9.500000000000000e-01   1.392100000000000e-02
  9.400000000000000e-01   1.647800000000000e-02
  9.300000000000001e-01   1.903600000000000e-02
  9.200000000000000e-01   2.159800000000000e-02
  9.100000000000000e-01   2.416300000000000e-02
  9.000000000000000e-01   2.673300000000000e-02
  8.750000000000000e-01   3.316900000000000e-02
  8.500000000000000e-01   3.960300000000000e-02
  8.250000000000000e-01   4.600400000000000e-02
  8.000000000000000e-01   5.233700000000000e-02
  7.750000000000000e-01   5.856600000000000e-02
  7.500000000000000e-01   6.465600000000001e-02
  7.250000000000000e-01   7.057300000000000e-02
  7.000000000000000e-01   7.628500000000001e-02
  6.750000000000000e-01   8.177300000000000e-02
  6.500000000000000e-01   8.701200000000001e-02
  6.250000000000000e-01   9.196699999999999e-02
  6.000000000000000e-01   9.659900000000000e-02
  5.750000000000000e-01   1.008870000000000e-01
  5.500000000000000e-01   1.047990000000000e-01
  5.250000000000000e-01   1.082990000000000e-01
  5.000000000000000e-01   1.113600000000000e-01
  4.750000000000000e-01   1.139370000000000e-01
  4.500000000000000e-01   1.159900000000000e-01
  4.400000000000000e-01   1.166500000000000e-01
  4.300000000000000e-01   1.172110000000000e-01
  4.200000000000000e-01   1.176670000000000e-01
  4.100000000000000e-01   1.180030000000000e-01
  4.000000000000000e-01   1.182040000000000e-01
  3.900000000000000e-01   1.182580000000000e-01
  3.800000000000000e-01   1.181680000000000e-01
  3.700000000000000e-01   1.179460000000000e-01
  3.600000000000000e-01   1.176070000000000e-01
  3.500000000000000e-01   1.171590000000000e-01
  3.400000000000000e-01   1.166030000000000e-01
  3.300000000000000e-01   1.159420000000000e-01
  3.200000000000000e-01   1.151810000000000e-01
  3.100000000000000e-01   1.143190000000000e-01
  3.000000000000000e-01   1.133560000000000e-01
  2.900000000000000e-01   1.122920000000000e-01
  2.800000000000000e-01   1.111270000000000e-01
  2.700000000000000e-01   1.098630000000000e-01
  2.600000000000000e-01   1.084970000000000e-01
  2.500000000000000e-01   1.070270000000000e-01
  2.400000000000000e-01   1.054540000000000e-01
  2.300000000000000e-01   1.037740000000000e-01
  2.200000000000000e-01   1.019850000000000e-01
  2.100000000000000e-01   1.000840000000000e-01
  2.000000000000000e-01   9.806800000000000e-02
  1.900000000000000e-01   9.593400000000001e-02
  1.800000000000000e-01   9.367600000000000e-02
  1.700000000000000e-01   9.129100000000000e-02
  1.600000000000000e-01   8.877200000000000e-02
